slug,traffic
/t/indigenous-rights-3,60
/t/tinker-bell-en-us,60
/t/muppets-en-us,60
/t/food-9,60
/t/drones-en-us,60
/t/ban-hunting-en-us,60
/t/oklahoma-en-us,60
/t/snow-white-en-us,59
/t/animal-shelter-abuse-en-us,59
/t/monopoly-go-en-us,59
/t/roblox-now-gg-en-in,59
/t/child-abuse-prevention-en-us,59
/t/instagram-en-us,59
/t/rottmnt-en-us,59
/t/new-york-city-en-us,59
/t/venezuela-crisis-en-us,59
/t/recount2024-en-us,59
/t/term-limits-for-congress-en-us,59
/t/5g-en-us,59
/t/president-en-us,58
/t/ethnic-and-racial-minorities-en-us,58
/t/equal-rights-amendment-en-us,58
/t/sssniperwolf-en-us,58
/t/aubriegh-wyatt-en-us,58
/t/sims-4-en-us,58
/t/immigration-reform,58
/t/maternity-leave-2,58
/t/anime-en-us,57
/t/pink-tax-en-us,57
/t/high-fructose-corn-syrup-en-us,57
/t/tenant-rights-en-us,57
/t/antisemitism-en-us,57
/t/human-rights-10,57
/t/petco-en-us,57
/t/america-first-en-us,57
/t/plastic-pollution-en-us,57
/t/remove-rachel-zegler-as-snow-white-en-us,57
/t/secret-service-en-us,57
/t/religion-8,56
/t/scientology-en-us,56
/t/prison-sentencing,56
/t/coronavirus-hi-in,56
/t/groomer-en-us,56
/t/fireworks-ban-en-gb,56
/t/criminal-justice-reform-en-us,56
/t/road-repair-en-us,56
/t/free-the-nipple-en-us,56
/t/police-misconduct-en-us,56
/t/therian-and-furry-hate-en-us,56
/t/judicial-misconduct-en-us,56
/t/corporate-responsibility-en-us,55
/t/boycott-en-us,55
/t/free-luigi-mangione-en-us,55
/t/prodigy-math-game-en-us,55
/t/gacha-heat-en-us,55
/t/bernie-sanders-en-us,55
/t/season-2-en-us,55
/t/sandy-hook-shooting-en-us,55
/t/roe-v-wade-en-us,55
/t/human-trafficking-7,55
/t/justice-reform-en-us,54
/t/derechos-de-las-mujeres-4,54
/t/end-wokeness-en-us,54
/t/sesame-workshop-en-us,54
/t/suicide-video-en-us,54
/t/witsit-gets-it-en-us,54
/t/larry-russell-bryant-en-us,54
/t/walmart-en-us,54
/t/cnn-clinton-news-network-en-us,53
/t/sonic-the-hedgehog-en-us,53
/t/animal-shelters-2,53
/t/family-courts-corruption-en-us,53
/t/david-shurter-en-us,53
/t/secession-en-us,53
/t/free-gas-usa-en-gb,52
/t/myladyjane-en-us,52
/t/consumer-rights-en-us,52
/t/fortnite-europe-ping-en-us,52
/t/jared-leisek-en-us,52
/t/unblocked-games-en-us,52
/t/deportation-3,52
/t/immigrants,52
/t/animal-abuse-en-us,51
/t/boycott-under-armour-en-us,51
/t/ixl-en-us,51
/t/palestine-en-gb,51
/t/second-amendment,51
/t/cocomelon-en-us,51
/t/nba-youngboy-en-us,51
/t/morbius-en-us,51
/t/lgbtq-en-us,51
/t/animal-testing-4,50
/t/shark-finning-en-us,50
/t/yulin-dog-meat-festival-en-us,50
/t/brain-computer-interface-en-us,50
/t/unblock-coolmathgames-en-us,50
/t/the-simpsons-en-us,50
/t/gmo,49
/t/family-rights-en-us,49
/t/kurt-cobain-en-us,49
/t/23andme-en-us,49
/t/aaron-persky-en-us,49
/t/vote-en-us,49
/t/military-2,49
/t/pedophile-callout-en-us,49
/t/speed-bumps-en-us,49
/t/racial-discrimination,49
/t/dallas-cowboys-en-us,49
/t/spongebob-squarepants-en-us,49
/t/nuclear-weapons-en-us,48
/t/pittstown-en-us,48
/t/bring-back-the-monkey-on-kahoot-en-us,48
/t/elephants-2,48
/t/power-rangers-lightning-collection-en-us,48
